timestamp,value,plant_line
2024-09-23T02:30:00Z,1,Cream Packing Line 1
2024-09-23T02:36:00Z,1,Cream Packing Line 1
2024-09-23T02:42:00Z,1,Cream Packing Line 1
2024-09-23T02:48:00Z,1,Cream Packing Line 1
2024-09-23T02:54:00Z,1,Cream Packing Line 1
2024-09-23T03:00:00Z,1,Cream Packing Line 1
2024-09-23T03:06:00Z,1,Cream Packing Line 1
2024-09-23T03:12:00Z,1,Cream Packing Line 1
2024-09-23T03:18:00Z,1,Cream Packing Line 1
2024-09-23T03:24:00Z,1,Cream Packing Line 1
2024-09-23T03:30:00Z,1,Cream Packing Line 1
2024-09-23T03:36:00Z,1,Cream Packing Line 1
2024-09-23T03:42:00Z,1,Cream Packing Line 1
2024-09-23T03:48:00Z,1,Cream Packing Line 1
2024-09-23T03:54:00Z,1,Cream Packing Line 1
2024-09-23T04:00:00Z,1,Cream Packing Line 1
2024-09-23T04:06:00Z,1,Cream Packing Line 1
2024-09-23T04:12:00Z,1,Cream Packing Line 1
2024-09-23T04:18:00Z,1,Cream Packing Line 1
2024-09-23T04:24:00Z,1,Cream Packing Line 1
2024-09-23T04:30:00Z,1,Cream Packing Line 1
2024-09-23T04:36:00Z,1,Cream Packing Line 1
2024-09-23T04:42:00Z,1,Cream Packing Line 1
2024-09-23T04:48:00Z,1,Cream Packing Line 1
2024-09-23T04:54:00Z,1,Cream Packing Line 1
2024-09-23T05:00:00Z,1,Cream Packing Line 1
2024-09-23T05:06:00Z,1,Cream Packing Line 1
2024-09-23T05:12:00Z,1,Cream Packing Line 1
2024-09-23T05:18:00Z,1,Cream Packing Line 1
2024-09-23T05:24:00Z,1,Cream Packing Line 1
2024-09-23T05:30:00Z,1,Cream Packing Line 1
2024-09-23T05:36:00Z,1,Cream Packing Line 1
2024-09-23T05:42:00Z,1,Cream Packing Line 1
2024-09-23T05:48:00Z,1,Cream Packing Line 1
2024-09-23T05:54:00Z,1,Cream Packing Line 1
2024-09-23T06:00:00Z,1,Cream Packing Line 1
2024-09-23T06:06:00Z,1,Cream Packing Line 1
2024-09-23T06:12:00Z,1,Cream Packing Line 1
2024-09-23T06:18:00Z,1,Cream Packing Line 1
2024-09-23T06:24:00Z,1,Cream Packing Line 1
2024-09-23T06:30:00Z,1,Cream Packing Line 1
2024-09-23T06:36:00Z,1,Cream Packing Line 1
2024-09-23T06:42:00Z,1,Cream Packing Line 1
2024-09-23T06:48:00Z,1,Cream Packing Line 1
2024-09-23T06:54:00Z,1,Cream Packing Line 1
2024-09-23T07:00:00Z,1,Cream Packing Line 1
2024-09-23T07:06:00Z,1,Cream Packing Line 1
2024-09-23T07:12:00Z,1,Cream Packing Line 1
2024-09-23T07:18:00Z,1,Cream Packing Line 1
2024-09-23T07:24:00Z,1,Cream Packing Line 1
2024-09-23T07:30:00Z,1,Cream Packing Line 1
2024-09-23T07:36:00Z,1,Cream Packing Line 1
2024-09-23T07:42:00Z,1,Cream Packing Line 1
2024-09-23T07:48:00Z,1,Cream Packing Line 1
2024-09-23T07:54:00Z,1,Cream Packing Line 1
2024-09-23T08:00:00Z,1,Cream Packing Line 1
2024-09-23T08:06:00Z,1,Cream Packing Line 1
2024-09-23T08:12:00Z,1,Cream Packing Line 1
2024-09-23T08:18:00Z,1,Cream Packing Line 1
2024-09-23T08:24:00Z,1,Cream Packing Line 1
2024-09-23T08:30:00Z,1,Cream Packing Line 1
2024-09-23T08:36:00Z,1,Cream Packing Line 1
2024-09-23T08:42:00Z,1,Cream Packing Line 1
2024-09-23T08:48:00Z,1,Cream Packing Line 1
2024-09-23T08:54:00Z,1,Cream Packing Line 1
2024-09-23T09:00:00Z,1,Cream Packing Line 1
2024-09-23T09:06:00Z,1,Cream Packing Line 1
2024-09-23T09:12:00Z,1,Cream Packing Line 1
2024-09-23T09:18:00Z,1,Cream Packing Line 1
2024-09-23T09:24:00Z,1,Cream Packing Line 1
2024-09-23T09:30:00Z,1,Cream Packing Line 1
2024-09-23T09:36:00Z,1,Cream Packing Line 1
2024-09-23T09:42:00Z,1,Cream Packing Line 1
2024-09-23T09:48:00Z,1,Cream Packing Line 1
2024-09-23T09:54:00Z,1,Cream Packing Line 1
2024-09-23T10:00:00Z,1,Cream Packing Line 1
2024-09-23T10:06:00Z,1,Cream Packing Line 1
2024-09-23T10:12:00Z,1,Cream Packing Line 1
2024-09-23T10:18:00Z,1,Cream Packing Line 1
2024-09-23T10:24:00Z,1,Cream Packing Line 1
2024-09-23T10:30:00Z,1,Cream Packing Line 1
2024-09-23T10:36:00Z,1,Cream Packing Line 1
2024-09-23T10:42:00Z,1,Cream Packing Line 1
2024-09-23T10:48:00Z,1,Cream Packing Line 1
2024-09-23T10:54:00Z,1,Cream Packing Line 1
2024-09-23T11:00:00Z,1,Cream Packing Line 1
2024-09-23T11:06:00Z,1,Cream Packing Line 1
2024-09-23T11:12:00Z,1,Cream Packing Line 1
2024-09-23T11:18:00Z,1,Cream Packing Line 1
2024-09-23T11:24:00Z,1,Cream Packing Line 1
2024-09-23T11:30:00Z,1,Cream Packing Line 1
2024-09-23T11:36:00Z,1,Cream Packing Line 1
2024-09-23T11:42:00Z,1,Cream Packing Line 1
2024-09-23T11:48:00Z,1,Cream Packing Line 1
2024-09-23T11:54:00Z,1,Cream Packing Line 1
2024-09-23T12:00:00Z,1,Cream Packing Line 1
2024-09-23T12:06:00Z,1,Cream Packing Line 1
2024-09-23T12:12:00Z,1,Cream Packing Line 1
2024-09-23T12:18:00Z,1,Cream Packing Line 1
2024-09-23T12:24:00Z,1,Cream Packing Line 1
2024-09-23T12:30:00Z,1,Cream Packing Line 1
2024-09-23T12:36:00Z,1,Cream Packing Line 1
2024-09-23T12:42:00Z,1,Cream Packing Line 1
2024-09-23T12:48:00Z,1,Cream Packing Line 1
2024-09-23T12:54:00Z,1,Cream Packing Line 1
2024-09-23T13:00:00Z,1,Cream Packing Line 1
2024-09-23T13:06:00Z,1,Cream Packing Line 1
2024-09-23T13:12:00Z,1,Cream Packing Line 1
2024-09-23T13:18:00Z,1,Cream Packing Line 1
2024-09-23T13:24:00Z,1,Cream Packing Line 1
2024-09-23T13:30:00Z,1,Cream Packing Line 1
2024-09-23T13:36:00Z,1,Cream Packing Line 1
2024-09-23T13:42:00Z,1,Cream Packing Line 1
2024-09-23T13:48:00Z,1,Cream Packing Line 1
2024-09-23T13:54:00Z,1,Cream Packing Line 1
2024-09-23T14:00:00Z,1,Cream Packing Line 1
2024-09-23T14:06:00Z,1,Cream Packing Line 1
2024-09-23T14:12:00Z,1,Cream Packing Line 1
2024-09-23T14:18:00Z,1,Cream Packing Line 1
2024-09-23T14:24:00Z,1,Cream Packing Line 1
2024-09-23T14:30:00Z,1,Cream Packing Line 1
2024-09-23T14:36:00Z,1,Cream Packing Line 1
2024-09-23T14:42:00Z,1,Cream Packing Line 1
